instance_name,algorithm,epsilon,realization,seed,seed_mode,n_noise,steps_per_segment,n_time_steps,n_real,n,r,L,full_dim,p_raw,p0,p0_reference,p0_midpoint,baseline_abs_error,baseline_rel_error,baseline_mode,integrator_version,h0_model_version,fk_input_term,p0_reference_source,integrator,integrator_note,norm_method,norm_iters,p_normalized,final_norm,runtime_seconds,status,error_message,cache_hit
paper_m2,HMIS-HDQAA,1e-15,34,194291202,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597454,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.000000000000028,1.0000000000000009,849.310965487035,success,,False
paper_m2,HMIS-HDQAA,1e-15,35,1568787180,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597175,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999789,1.0000000000000009,852.5025795879774,success,,False
paper_m2,HMIS-HDQAA,1e-15,36,133368743,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597433,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000242,1.0000000000000009,859.6482577680144,success,,False
paper_m2,HMIS-HDQAA,1e-15,37,2166945292,paired_noise,70,8,560,100,5,5,70,2272,0.00567915312559732,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000044,1.0000000000000009,850.1410740888678,success,,False
paper_m2,HMIS-HDQAA,1e-15,38,1706168518,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597077,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999617,1.0000000000000009,858.0145496779587,success,,False
paper_m2,HMIS-HDQAA,1e-15,39,2877374584,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597334,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000069,1.0000000000000009,854.4670300120488,success,,False
paper_m2,HMIS-HDQAA,1e-15,40,931737388,paired_noise,70,8,560,100,5,5,70,2272,0.0056791531255971,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999656,1.0000000000000009,854.5099810098764,success,,False
paper_m2,HMIS-HDQAA,1e-15,41,3456580100,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597075,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999614,1.0000000000000004,857.6462160260417,success,,False
paper_m2,HMIS-HDQAA,1e-15,42,896416659,paired_noise,70,8,560,100,5,5,70,2272,0.00567915312559697,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999427,1.0000000000000007,859.9104259698652,success,,False
paper_m2,HMIS-HDQAA,1e-15,43,2932580794,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597079,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999619,1.0000000000000009,857.1457416480407,success,,False
paper_m2,HMIS-HDQAA,1e-15,44,12871869,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597154,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999752,1.0000000000000009,855.6968880938366,success,,False
paper_m2,HMIS-HDQAA,1e-15,45,2740715652,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597002,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999484,1.0000000000000007,855.1915550020058,success,,False
paper_m2,HMIS-HDQAA,1e-15,46,24806856,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597092,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999643,1.0000000000000009,850.9731015390716,success,,False
paper_m2,HMIS-HDQAA,1e-15,47,1193831040,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597409,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000202,1.0000000000000007,857.8513814108446,success,,False
paper_m2,HMIS-HDQAA,1e-15,48,4214107227,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597173,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999785,1.0000000000000007,856.606394572882,success,,False
paper_m2,HMIS-HDQAA,1e-15,49,4235873245,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597501,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000364,1.0000000000000007,860.1763939750381,success,,False
paper_m2,HMIS-HDQAA,1e-15,50,3176338574,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597249,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999919,1.0000000000000009,858.106529032113,success,,False
paper_m2,HMIS-HDQAA,1e-15,51,2639236138,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597474,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000315,1.0000000000000009,850.9100192140322,success,,False
paper_m2,HMIS-HDQAA,1e-15,52,2413148803,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597018,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999513,1.0000000000000007,846.9633231139742,success,,False
paper_m2,HMIS-HDQAA,1e-15,53,2910019506,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596721,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999998989,1.0000000000000007,845.5620571649633,success,,False
paper_m2,HMIS-HDQAA,1e-15,54,1109842934,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597154,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999752,1.0000000000000007,848.8865268679801,success,,False
paper_m2,HMIS-HDQAA,1e-15,55,1663663103,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.999999999999948,1.0000000000000004,863.1374503609259,success,,False
paper_m2,HMIS-HDQAA,1e-15,56,2815922175,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597029,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999531,1.0000000000000007,848.4866960239597,success,,False
paper_m2,HMIS-HDQAA,1e-15,57,1459473436,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597029,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999531,1.0000000000000009,854.8710149598774,success,,False
paper_m2,HMIS-HDQAA,1e-15,58,3277318282,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596804,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999135,1.0000000000000004,853.3253373031039,success,,False
paper_m2,HMIS-HDQAA,1e-15,59,4055459126,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597295,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0,1.0000000000000009,848.2288268911652,success,,False
paper_m2,HMIS-HDQAA,1e-15,60,3500270886,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597127,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999704,1.0000000000000007,850.2506690609735,success,,False
paper_m2,HMIS-HDQAA,1e-15,61,825989772,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597019,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999515,1.0000000000000004,849.5539328178857,success,,False
paper_m2,HMIS-HDQAA,1e-15,62,1114936147,paired_noise,70,8,560,100,5,5,70,2272,0.00567915312559756,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000466,1.0000000000000004,857.386800467968,success,,False
paper_m2,HMIS-HDQAA,1e-15,63,788114888,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597249,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999919,1.0000000000000009,857.0686752921902,success,,False
paper_m2,HMIS-HDQAA,1e-15,64,83138770,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597372,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000135,1.0000000000000009,853.5836543350015,success,,False
paper_m2,HMIS-HDQAA,1e-15,65,1630691375,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596851,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999218,1.0000000000000009,853.657739229966,success,,False
paper_m2,HMIS-HDQAA,1e-15,66,706983791,paired_noise,70,8,560,100,5,5,70,2272,0.0056791531255972845,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999981,1.0000000000000004,853.8107378310524,success,,False
paper_m2,HMIS-HDQAA,1e-15,67,3728694377,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597131,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999711,1.0000000000000007,853.8399250251241,success,,False
paper_m2,HMIS-HDQAA,1e-15,68,2951331313,paired_noise,70,8,560,100,5,5,70,2272,0.0056791531255968595,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999233,1.0000000000000007,849.9302884470671,success,,False
