algorithm,graph_id,graph_hash,m,n,sample_id,seed,delete_probability,deleted_edge_count,num_edges,r,L,x_star_index,mis_size,x_star_left_count,x_star_right_count,gamma,Omega,p_gate,q_gate,absf2,absg2,success_probability,ideal_NH_circuit,fk_method,fk_num_steps,fk_norm_error,runtime_prepare,runtime_solver,runtime_total,cache_hit_prefix,cache_hit_clock,status,error_message
NHMIS-HDQAA,cklr_m3_s19_29a707e0354328ca,29a707e0354328ca,3,9,19,5191300779465169152,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028762578338,0.9999504109302378,expm,,,0.1993427108973264,0.0003502960316836,0.2606413851026445,False,False,success,
HMIS-HDQAA,cklr_m3_s20_614b2c6e2f0f7f0f,614b2c6e2f0f7f0f,3,9,20,7350743537611087512,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1780639579519629,4.7625042498111725e-05,0.24009625101462,False,False,success,
NHMIS-FKQAA,cklr_m3_s20_614b2c6e2f0f7f0f,614b2c6e2f0f7f0f,3,9,20,7350743537611087512,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450382701945503,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1780639579519629,0.00140249915421,0.2396940719336271,False,True,success,
NHMIS-HDQAA,cklr_m3_s20_614b2c6e2f0f7f0f,614b2c6e2f0f7f0f,3,9,20,7350743537611087512,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990646877037,0.999946596552986,expm,,,0.1780639579519629,0.0003430070355534,0.2400463249068707,False,False,success,
HMIS-HDQAA,cklr_m3_s21_eb71366301741e6e,eb71366301741e6e,3,9,21,6054525439224775637,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1782575268298387,4.744506441056728e-05,0.2396687651053071,False,False,success,
NHMIS-FKQAA,cklr_m3_s21_eb71366301741e6e,eb71366301741e6e,3,9,21,6054525439224775637,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450381883929086,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1782575268298387,0.0014035208150744,0.2392644460778683,False,True,success,
NHMIS-HDQAA,cklr_m3_s21_eb71366301741e6e,eb71366301741e6e,3,9,21,6054525439224775637,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990641380208,0.999946596552986,expm,,,0.1782575268298387,0.0003452061209827,0.2396189901046455,False,False,success,
HMIS-HDQAA,cklr_m3_s22_f9571918f1e47613,f9571918f1e47613,3,9,22,6575660509030434226,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1503127929754555,4.757498390972614e-05,0.1914320869836956,False,False,success,
NHMIS-FKQAA,cklr_m3_s22_f9571918f1e47613,f9571918f1e47613,3,9,22,6575660509030434226,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450382351080641,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1503127929754555,0.0014167400076985,0.191027469933033,False,True,success,
NHMIS-HDQAA,cklr_m3_s22_f9571918f1e47613,f9571918f1e47613,3,9,22,6575660509030434226,0.05,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990644521252,0.999946596552986,expm,,,0.1503127929754555,0.0003451290540397,0.1913820509798824,False,False,success,
HMIS-HDQAA,cklr_m3_s23_9648b9132b416669,9648b9132b416669,3,9,23,4212590004224949674,0.05,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1872445130720734,4.563690163195133e-05,0.2563132948707789,False,False,success,
NHMIS-FKQAA,cklr_m3_s23_9648b9132b416669,9648b9132b416669,3,9,23,4212590004224949674,0.05,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.147102383393687,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.1872445130720734,0.0014761241618543,0.2559027578681707,False,True,success,
